ARPT_ID,ICAO_ID,ARPT_NAME,LAT_DECIMAL,LONG_DECIMAL,ELEV,RESP_ARTCC_ID,COMPUTER_ID,ARTCC_NAME,TWR_TYPE_CODE,DCC REGION,ASPM82,OEP35,Core30,Tower,Approach,Secondary Approach,Departure,Secondary Departure,Approach/Departure,Approach ID,Secondary Approach ID,Departure ID,Secondary Departure ID,Approach/Departure ID,Consolidated Approach,Consolidated Approach ID,OPSNET45
83IN,,GOODENOUGH,40.73976416,-86.00054611,685,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
GUS,KGUS,GRISSOM ARB,40.64809166,-86.15211944,810.6,ZAU,ZCG,CHICAGO,ATCT-RAPCON,Midwest,FALSE,FALSE,FALSE,GRISSOM,GRISSOM,CHICAGO ARTCC,GRISSOM,CHICAGO ARTCC,GRISSOM,GUS,APCH/S CALL IS CHICAGO ARTCC,GUS,DEP/S CALL IS CHICAGO ARTCC,,GRISSOM / CHICAGO ARTCC,GUS / APCH/S CALL IS CHICAGO ARTCC / DEP/S CALL IS CHICAGO ARTCC,FALSE
IN03,,ALFORD AIRPARK,38.46388888,-87.25,500,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
1IN6,,COTTINGHAM,40.40166666,-87.22027777,685,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
II91,,DUNBAR FLD,39.84393333,-86.505275,940,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
2II4,,PSI,39.71115638,-86.38554916,780,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
C65,,PLYMOUTH MUNI,41.36513055,-86.30025777,799.9,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,SOUTH BEND,CHICAGO ARTCC,SOUTH BEND,CHICAGO ARTCC,,SBN,ZAU,SBN,ZAU,,SOUTH BEND / CHICAGO ARTCC,SBN / ZAU,FALSE
18IN,,HERITAGE FARM FLD,41.38192361,-86.43179722,771,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
2II5,,BURNS INTL HARBOR,41.63698138,-87.15225694,596,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
8IN5,,PORTAGE COMMUNITY HOSPITAL,41.54700277,-87.184425,640,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
3IN0,,FLYING M,41.55875,-87.12611111,640,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
PLD,KPLD,PORTLAND MUNI,40.4515175,-84.99171777,925.3,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,FORT WAYNE,,FORT WAYNE,,,FWA,,FWA,,,FORT WAYNE,FWA,FALSE
88IN,,SEIB,38.13313888,-87.78576388,428,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
7IN3,,GARRETT FLD,38.243325,-87.78682222,400,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
99II,,COOPER FLD,39.5835,-86.95252777,880,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
II26,,ASHBY,40.70392777,-87.18779583,750,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
RZL,KRZL,JASPER COUNTY,40.94782333,-87.18264805,698.3,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,CHICAGO ARTCC,,CHICAGO ARTCC,,,ZAU,,ZAU,,,CHICAGO ARTCC,ZAU,FALSE
10II,,FRANCISCAN HEALTH RENSSELAER,40.93499722,-87.13815833,660,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
RID,KRID,RICHMOND MUNI,39.75608333,-84.84269444,1139.8,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,COLUMBUS,,COLUMBUS,,,CMH,,CMH,,,COLUMBUS,CMH,FALSE
IN68,,REID HOSPITAL,39.86430222,-84.88288666,1073,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,COLUMBUS,,COLUMBUS,,,CMH,,CMH,,,COLUMBUS,CMH,FALSE
67IN,,RISING SUN,38.94746388,-84.85096666,463,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
31II,,HERBS FLD,38.91208611,-84.90519722,802,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
32IN,,SCUDDER FLD,38.91816383,-84.97423483,905,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
IN45,,4 WINDS AERODROME,39.82504472,-86.88334194,810,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
2IN2,,GERIG'S FLD,41.00916666,-85.37138888,850,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
8IS2,,KILSOQUAH FARM,40.99777777,-85.38888888,840,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
RCR,KRCR,FULTON COUNTY,41.06554752,-86.18170288,789.5,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,SOUTH BEND,CHICAGO ARTCC,SOUTH BEND,CHICAGO ARTCC,,SBN,ZAU,SBN,ZAU,,SOUTH BEND / CHICAGO ARTCC,SBN / ZAU,FALSE
IN46,,BUTLER FLD,39.73892916,-87.21945861,687,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
II92,,LAYDEN,41.74171083,-86.58363166,740,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
9II5,,RUSH MEML HOSPITAL,39.62254666,-85.44330361,980,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
IN05,,STEVENS FARMS,39.66055555,-85.54833333,930,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
6IN8,,MCMINN,39.52861111,-85.33333333,1065,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
II68,,DURHAM,39.85504416,-86.95917611,820,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
5II5,,KOESTER FLD,38.11805,-87.70203333,480,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
43IN,,HEPLER,38.13754361,-87.67641166,460,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
II89,,LOCKYEAR,38.0869875,-87.68168833,525,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
I83,,SALEM MUNI,38.60407569,-86.15225161,839.9,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,LOUISVILLE,,LOUISVILLE,,,SDF,,SDF,,,LOUISVILLE,SDF,FALSE
IN44,,HABERMEL,38.564225,-86.05747611,800,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
86IN,,ST VINCENT SALEM HOSPITAL,38.61347222,-86.10667222,776,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
3R8,,HONAKER FLD,38.6577,-85.79058472,600,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
61IN,,WILKERSON'S,38.71366972,-85.60357388,730,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
IN50,,BEECHWOOD FLYING FLD,38.68840583,-85.703222,600,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
SER,KSER,FREEMAN MUNI,38.92425644,-85.90972058,582.7,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,LOUISVILLE,,LOUISVILLE,,,SDF,,SDF,,,LOUISVILLE,SDF,FALSE
IN02,,GREEN ACRES,38.97027777,-86.00416666,576,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
II70,,SALSBERY,40.38500833,-86.06364722,870,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
II97,,SKEETER LANDING,39.4778275,-85.88331583,720,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
GEZ,KGEZ,SHELBYVILLE MUNI,39.58313888,-85.80480555,802.5,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,INDIANAPOLIS,,INDIANAPOLIS,,,IND,,IND,,,INDIANAPOLIS,IND,FALSE
70II,,NASBY,39.52171472,-85.68636555,830,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
3II7,,ARMY AVIATION SUPPORT FACILITY,39.58338027,-85.79997944,790,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
IN49,,PHERIGO,39.48754916,-85.80525805,760,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
IN51,,WINDY KNOLL,40.14073055,-86.15181527,915,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
5I4,,SHERIDAN,40.17815555,-86.21706944,936,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,INDIANAPOLIS,,INDIANAPOLIS,,,IND,,IND,,,INDIANAPOLIS,IND,FALSE
IN65,,WOLFE FLD,41.69143916,-85.59554166,896,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
1IN5,,BOTTOMS BROTHERS,38.28476916,-87.38195833,545,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
SBN,KSBN,SOUTH BEND INTL,41.70822388,-86.3173375,798.4,ZAU,ZCG,CHICAGO,ATCT-TRACON,Midwest,FALSE,FALSE,FALSE,SOUTH BEND,SOUTH BEND,CHICAGO ARTCC,SOUTH BEND,CHICAGO ARTCC,SOUTH BEND,SBN,ZAU,SBN,ZAU,,SOUTH BEND / CHICAGO ARTCC,SBN / ZAU,FALSE
79IN,,MEML HOSPITAL AT SOUTH BEND,41.68398611,-86.25343611,752,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
3IN7,,CHAIN-O-LAKES,41.66254666,-86.35417722,743,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
IN52,,500,39.78282083,-86.23332222,720,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
IN53,,MILLER,39.29171111,-86.82361805,710,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
58IN,,HILLTOP,41.25838333,-84.86385166,820,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
7IN9,,THE LAST RESORT,40.0375,-85.41055555,1070,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
37IN,,FELIX,40.2917025,-86.78028388,750,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
IN0,,BIG TURKEY LAKE,41.58496666,-85.18862777,927,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
SIV,KSIV,SULLIVAN COUNTY,39.1147125,-87.44832916,539.2,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,HULMAN,,HULMAN,,,HUF,,HUF,,,HULMAN,HUF,FALSE
39IN,,ROBERTS FLD,40.00226833,-85.42886111,1085,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
5IG9,,KRAMER AIRFIELD,40.01563194,-85.43272777,1062,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
4IN9,,WAWASEE,41.41893666,-85.69165416,880,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
01D,,LAKE WAWASEE,41.40361111,-85.70611111,859,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
99D,,DEWART LAKE,41.37194444,-85.77277777,865,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
TEL,KTEL,PERRY COUNTY MUNI,38.01886111,-86.69241666,659.5,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,EVANSVILLE,INDIANAPOLIS ARTCC,EVANSVILLE,INDIANAPOLIS ARTCC,,EVV,ZID,EVV,ZID,,EVANSVILLE / INDIANAPOLIS ARTCC,EVV / ZID,FALSE
3I3,,SKY KING,39.54778666,-87.3773525,496,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,HULMAN,,HULMAN,,,HUF,,HUF,,,HULMAN,HUF,FALSE
HUF,KHUF,TERRE HAUTE RGNL,39.45063194,-87.30699,589.2,ZID,ZCI,INDIANAPOLIS,ATCT-TRACON,Southeast,FALSE,FALSE,FALSE,HULMAN,HULMAN,,HULMAN,,HULMAN,HUF,,HUF,,,HULMAN,HUF,FALSE
60II,,UNION HOSPITAL,39.48610833,-87.40743333,534,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,HULMAN,,HULMAN,,,HUF,,HUF,,,HULMAN,HUF,FALSE
35IN,,ELLISON,40.2944825,-85.94248333,875,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
2II6,,BAIRD-WOLFORD,40.26475916,-86.10276694,880,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
39II,,MILLER FLD,41.51477166,-85.55220611,957,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
IN72,,MAYER,40.78593333,-85.2442,820,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
IN41,,FLYING U RANCH,41.45274166,-86.79106111,740,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
21IN,,GRAME,38.11944444,-86.76527777,420,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
5IN4,,WYCKOFF AIRSTRIP,41.48337361,-86.95002722,780,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VPZ,KVPZ,PORTER COUNTY RGNL,41.45397222,-87.00708333,770.3,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,SOUTH BEND,CHICAGO ARTCC,SOUTH BEND,CHICAGO ARTCC,,SBN,ZAU,SBN,ZAU,,SOUTH BEND / CHICAGO ARTCC,SBN / ZAU,FALSE
46II,,NORTHWEST HEALTH - PORTER,41.55366083,-87.04794694,725.7,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
IN55,,SONGER,40.07911944,-87.26215277,652,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
44IN,,CAMPBELL FLD,40.12375,-87.21046666,650,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
IG04,,LITZINGER,39.046425,-85.15619722,970,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
8I1,,ROBINSON,38.69450638,-85.19828694,484,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
32II,,ROBERTS,38.81644944,-85.10634111,820,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
IN15,,T & T,38.60476944,-87.46307527,550,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
24II,,GOOD SAMARITAN HOSPITAL,38.67330277,-87.53454722,420,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
IWH,KIWH,WABASH MUNI,40.76197222,-85.79875,795.6,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,GRISSOM,CHICAGO ARTCC,GRISSOM,CHICAGO ARTCC,,GUS,APCH/S CALL IS CHICAGO ARTCC,GUS,DEP/S CALL IS CHICAGO ARTCC,,GRISSOM / CHICAGO ARTCC,GUS / APCH/S CALL IS CHICAGO ARTCC / DEP/S CALL IS CHICAGO ARTCC,FALSE
62II,,PARKVIEW WABASH  HOSPITAL EMERGENCY,40.80615416,-85.81581861,779,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
IN89,,PARKVIEW WABASH HOSPITAL,40.81998875,-85.82413791,774,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
II74,,EBY FLD,41.55977055,-86.05305666,825,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
6IN2,,WHELEN,39.49361111,-85.64861111,870,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
6IN4,,FISCHER FLD,39.46583333,-85.69861111,835,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
17II,,DREESSEN FLD,41.45004416,-86.51029083,706,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
4IN4,,WILSON,39.97527777,-87.18027777,710,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
ASW,KASW,WARSAW MUNI,41.27469444,-85.84008333,849.7,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,FORT WAYNE,,FORT WAYNE,,,FWA,,FWA,,,FORT WAYNE,FWA,FALSE
84IN,,KOSCIUSKO COMMUNITY HOSPITAL,41.24735833,-85.82911944,839,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
01B,,TIPPECANOE,41.33305555,-85.7675,836,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
5IN8,,PARKVIEW WARSAW FACILITY,41.25870277,-85.82880555,855,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0IA,,BARBEE LAKE,41.284675,-85.70381388,838,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
DCY,KDCY,DAVIESS COUNTY,38.70076694,-87.13129,472.3,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,EVANSVILLE,INDIANAPOLIS ARTCC,EVANSVILLE,INDIANAPOLIS ARTCC,,EVV,ZID,EVV,ZID,,EVANSVILLE / INDIANAPOLIS ARTCC,EVV / ZID,FALSE
4C2,,WALKER/ROWE WATERLOO,41.43116138,-84.98163166,900,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
I72,,WESTFIELD,40.04892638,-86.1577675,932,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
IN60,,WILDERNESS FLD,40.01781527,-86.1602675,908,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
02II,,KING,40.06226,-86.2105475,925,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
7IN7,,GARY JOHNSON FLD,40.23583333,-87.35083333,570,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
6II8,,GODAHAVIT,38.65449166,-87.28279166,495,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
68IN,,ALLEY OOP,41.12142777,-86.99752222,715,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
II79,,SOMMERS,41.07698472,-86.7244575,710,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
RWN,KRWN,ARENS FLD,41.09226305,-86.61287111,708.3,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,SOUTH BEND,CHICAGO ARTCC,SOUTH BEND,CHICAGO ARTCC,,SBN,ZAU,SBN,ZAU,,SOUTH BEND / CHICAGO ARTCC,SBN / ZAU,FALSE
I22,,RANDOLPH COUNTY,40.16769444,-84.92938888,1122.8,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,COLUMBUS,,COLUMBUS,,,CMH,,CMH,,,COLUMBUS,CMH,FALSE
01L,,BASS LAKE,41.22888888,-86.58166666,713,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
02D,,WINONA LAKE,41.22305555,-85.83055555,812,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
78IN,,HARRIER,40.75138888,-86.98111111,700,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
IN5,,ADAMS LAKE,41.55268888,-85.33111944,955,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
5IN9,,STANGLAND,41.31615861,-85.46498027,924,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
53II,,STEINMAN,41.07310444,-84.84079583,760,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0IN4,,AIR PARK FLD,41.14204722,-84.90900555,750,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
3II3,,BASTING,41.08699333,-84.84107361,755,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
5II9,,AERO PLAINES,39.35281638,-87.37335222,570,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
4C7,,ACKLEY MUNI,42.54744444,-93.03341666,1070,ZMP,ZCP,MINNEAPOLIS,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
IA43,,STAGECOACH,41.6052,-94.61617777,1395,ZMP,ZCP,MINNEAPOLIS,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
2IA7,,JUNGMANNS LANDING,41.56847222,-93.98097222,914,ZMP,ZCP,MINNEAPOLIS,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
4C8,,ALBIA MUNI,40.99627777,-92.76569444,963.7,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,CHICAGO ARTCC,,CHICAGO ARTCC,,,ZAU,,ZAU,,,CHICAGO ARTCC,ZAU,FALSE
IA22,,MONROE COUNTY HOSPITAL,41.04305833,-92.7977,957,ZAU,ZCG,CHICAGO,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AXA,KAXA,ALGONA MUNI,43.07779777,-94.27177388,1216.1,ZMP,ZCP,MINNEAPOLIS,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,MINNEAPOLIS ARTCC,,MINNEAPOLIS ARTCC,,,ZMP,,ZMP,,,MINNEAPOLIS ARTCC,ZMP,FALSE
